"Benjamin Osborn",,,,
"Bill Wakeham",,,,
"Charlotte Holloway","Q76130977","2019 United Kingdom general election","Plymouth Moor View","Labour Co-operative"
"David Marchesi",,,,
"Ewan Melling Flavell","Q75975802","2019 United Kingdom general election","Plymouth Moor View","Green Party of England and Wales"
"Graham Reed","Q75838766","2019 United Kingdom general election","Plymouth Sutton and Devonport","Liberal Democrats"
"Josh Pope",,,,
"Louise Parker",,,,
"Matthew Groves",,,,
"Penny Mills",,,,
"Roy Cook",,,,
"Sarah Martin","Q75839199","2019 United Kingdom general election","Plymouth Moor View","Liberal Democrats"
"Stuart Bonar",,,,
"Sue Dann",,,,
"Wendy Miller",,,,
"Wendy Noble",,,,
