id,name,party,partyLabel,votes,election,electionLabel,ranking
Q20127929,Johnny Mercer,Q9626,Conservative Party (UK),26831,Q30173038,General election 2019,1
,Charlotte Holloway,Q6467393,Labour Co-operative,13934,Q30173038,General election 2019,2
,Sarah Martin,Q9624,Liberal Democrats (UK),2301,Q30173038,General election 2019,3
,Ewan Melling Flavell,Q9669,Green Party of England and Wales,1173,Q30173038,General election 2019,4
Q20127929,Johnny Mercer,Q9626,Conservative Party (UK),23567,Q25052149,General election 2017,1
,Sue Dann,Q9630,Labour Party (UK),18548,Q25052149,General election 2017,2
,Wendy Noble,Q10647,UK Independence Party,1849,Q25052149,General election 2017,3
,Graham Reed,Q9624,Liberal Democrats (UK),917,Q25052149,General election 2017,4
,Josh Pope,Q9669,Green Party of England and Wales,536,Q25052149,General election 2017,5
Q20127929,Johnny Mercer,Q9626,Conservative Party (UK),16020,Q3586935,General election 2015,1
Q478738,Alison Seabeck,Q9630,Labour Party (UK),14994,Q3586935,General election 2015,2
,Penny Mills,Q10647,UK Independence Party,9152,Q3586935,General election 2015,3
,Stuart Bonar,Q9624,Liberal Democrats (UK),1265,Q3586935,General election 2015,4
,Benjamin Osborn,Q9669,Green Party of England and Wales,1023,Q3586935,General election 2015,5
,Louise Parker,Q980923,Trade Unionist and Socialist Coalition,152,Q3586935,General election 2015,6
Q478738,Alison Seabeck,Q9630,Labour Party (UK),15433,Q215622,General election 2010,1
,Matthew Groves,Q9626,Conservative Party (UK),13845,Q215622,General election 2010,2
,Stuart Bonar,Q9624,Liberal Democrats (UK),7016,Q215622,General election 2010,3
,Bill Wakeham,Q10647,United Kingdom Independence Party,3188,Q215622,General election 2010,4
,Roy Cook,Q161269,British National Party,1438,Q215622,General election 2010,5
,Wendy Miller,Q9669,Green Party of England and Wales,398,Q215622,General election 2010,6
,David Marchesi,Q3491460,Socialist Labour Party (UK),208,Q215622,General election 2010,7
